"TEXT","TEXT","TEXT"
"GDenise95","Otcom","1.2"
"WDonald2009","Daltfresh","1.0"
"KanhezD","Andalax","3.0"
"KanhezD","Bitwolf","2.0"
"KanhezD","Fix San","1.1"
"LingD","Viva","1.2"
"GDouglas","Alphazap","2.0"
"GDouglas","Andalax","3.0"
"GDouglas","Temp","1.2"
"ERobinson04","Alpha","2.0"
"ERobinson04","Fixflex","1.0"
"ERobinson04","Namfix","1.1"
"EJordan1996","Prodder","3.0"
"EJordan1996","Sonsing","2.1"
"EJordan1996","Zontrax","1.2"
"ErnestJ","Bitchip","3.0"
"ErnestJ","Bytecard","3.0"
"ErnestJ","Quo Lux","1.0"
"ErnestJ","Redhold","1.2"
"ErnestJ","Sonair","1.0"
"ErnestJ","Toughjoyfax","1.2"
"EPerez","Alpha","3.0"
"EPerez","Fixflex","2.1"
"EPerez","Redhold","2.0"
"FloresG05","Flexidy","1.1"
"FloresG05","Gembucket","3.0"
"FloresG05","Hatity","3.0"
"FloresG05","Keylex","3.0"
"FloresG05","Temp","3.0"
"FloresG05","Toughjoyfax","1.2"
"TranhG03","Stim","2.1"
"FrancesS00","Andalax","3.0"
"FrancesS00","Kanlam","1.0"
"FrancesS00","Latlux","2.0"
"RichardsH2004","Alphazap","2.1"
"RichardsH2004","Bamity","1.2"
"HHelen10","Cookley","1.2"
"BJanice","Fix San","1.0"
"BJanice","Kanlam","1.2"
"BJanice","Keylex","1.0"
"BJanice","Mat Lam Tam","1.1"
"BJanice","Otcom","1.0"
"BJanice","Zamit","3.0"
"HowardC1995","It","2.0"
"RJames2006","Ronstring","1.1"
"RJames2006","Solarbreeze","3.0"
"LJean02","Asoka","1.0"
"LJean02","Domainer","1.2"
"LJean02","Fixflex","3.0"
"LJean02","Matsoft","1.0"
"CJessica12","It","2.0"
"CJessica12","Regrant","1.0"
"CJessica12","Voyatouch","1.1"
"CJessica12","Y-find","1.0"
"CJessica12","Zoolab","2.1"
"JRoberts97","Aerified","1.1"
"DJoshua2000","Fintone","2.0"
"DJoshua2000","Opela","1.1"
"RJoshua2006","Keylex","1.0"
"RJoshua2006","Temp","1.2"
"RJoshua2006","Viva","3.0"
"KanhB2004","Quo Lux","1.2"
"KanhB2004","Tempsoft","2.0"
"KanhB2004","Zaam-Dox","3.0"
"EKathryn","Kanlam","2.1"
"EKathryn","Tin","1.2"
"EKathryn","Y-Solowarm","2.0"
"AlvarezK94","Kanlam","3.0"
"KeithS2004","Konklab","1.0"
"KeithS2004","Trippledex","2.0"
"KevinW95","Fintone","2.1"
"KevinW95","Keylex","2.1"
"PorterL","Domainer","2.0"
"RLaura","Bitwolf","3.0"
"RLaura","Tres-Zap","2.1"
"RLaura","Zoolab","1.1"
"GLois","Matsoft","3.0"
"GLois","Wrapsafe","2.1"
"LillianB98","Gembucket","1.2"
"LillianB98","Namfix","1.0"
"GLinda09","Biodex","1.2"
"GLinda09","Hatity","2.1"
"GLinda09","Temp","3.0"
"GonzalesL1997","Hatity","1.0"
"GonzalesL1997","Stronghold","1.1"
"GonzalesL1997","Tin","3.0"
"GonzalesL1997","Zoolab","1.0"
"PorterM","Fintone","1.0"
"PorterM","Keylex","3.0"
"PorterM","Regrant","1.2"
"OMarilyn","Voltsillam","1.2"
"MarieM","Hatity","1.0"
"MarieM","Sonair","1.0"
"MarieM","Y-Solowarm","1.1"
"VasquezM2000","Ventosanzap","3.0"
"NicholasH","Kanlam","1.2"
"NicholasH","Overhold","1.0"
"MNancy","It","1.2"
"WPeter2011","Cardify","1.2"
"WPeter2011","Duobam","1.1"
"WPeter2011","Kanlam","1.2"
"WPeter2011","Latlux","2.1"
"WPeter2011","Ronstring","2.0"
"WPeter2011","Temp","1.2"
"WPeter2011","Voltsillam","3.0"
"WPeter2011","Voyatouch","2.1"
"LeeP","Kanlam","1.2"
"LeeP","Matsoft","2.0"
"LeeP","Opela","3.0"
"LeeP","Redhold","2.0"
"WestP08","Bitwolf","1.0"
"WestP08","Konklab","1.2"
"WestP08","Sonair","1.0"
"RebeccaG96","Aerified","2.0"
"RebeccaG96","Flexidy","1.1"
"RebeccaG96","Overhold","1.1"
"RebeccaG96","Solarbreeze","2.1"
"RebeccaG96","Tresom","1.0"
"ORebecca98","Tampflex","3.0"
"ORebecca98","Toughjoyfax","2.1"
"ORebecca98","Y-find","1.1"
"RaymondT2005","Bamity","1.0"
"RaymondT2005","Fintone","1.0"
"RBurns","Quo Lux","1.0"
"RBurns","Sonsing","1.0"
"RBurns","Transcof","3.0"
"VRoy03","Cardify","1.2"
"VRoy03","Job","1.0"
"VRoy03","Sonair","1.0"
"HScott93","Asoka","1.1"
"HScott93","Cardify","1.2"
"HScott93","Daltfresh","2.1"
"HScott93","Sub-Ex","1.0"
"HScott93","Veribet","2.1"
"HayesS2005","Tres-Zap","2.1"
"HayesS2005","Zoolab","3.0"
"SStephen","Redhold","2.0"
"MTerry2011","Bitwolf","1.2"
"MTerry2011","Tempsoft","2.0"
"MTerry2011","Zontrax","2.0"
"MTerry2011","Zoolab","2.0"
"TAlvarez2003","Asoka","2.1"
"TAlvarez2003","Konklab","1.0"
"TAlvarez2003","Mat Lam Tam","2.0"
"TAlvarez2003","Overhold","3.0"
"TAlvarez2003","Tampflex","2.1"
"TAlvarez2003","Veribet","1.2"
"TAlvarez2003","Veribet","3.0"
"TeresaM93","Aerified","3.0"
"TeresaM93","Bamity","1.2"
"TeresaM93","It","2.0"
"TeresaM93","Viva","3.0"
"TeresaM93","Voyatouch","1.1"
"WFoo08","Konklux","3.0"
"WFoo08","Y-Solowarm","1.2"
"WalterL1995","Asoka","2.0"
"WalterL1995","Bitwolf","1.2"
"WalterL1995","Y-find","1.2"
"BWanda","Aerified","1.0"
"BWanda","Asoka","1.1"
"BWanda","Biodex","1.2"
"BWanda","Konklux","1.0"
"BWanda","Tresom","1.1"
"RuizD24","Aerified","1.0"
"RuizD24","Fixflex","1.0"
"CCox1993","Job","1.2"
"WRivera10","Aerified","3.0"
"WRivera10","Andalax","2.1"
"WRivera10","Bitchip","1.0"
"WRivera10","Cardguard","1.2"
"WRivera10","Mat Lam Tam","1.2"
"WCruz","Subin","1.1"
"RichardsH2004","Bitwolf","1.0"
"RichardsH2004","Flexidy","2.1"
"RichardsH2004","Mat Lam Tam","1.1"
"KevinW95","Trippledex","2.1"
"ERobinson04","Ventosanzap","1.2"
"ERobinson04","Zamit","1.2"
"JosephG","Konklab","1.2"
"JosephG","Solarbreeze","1.1"
"JosephG","Tempsoft","1.2"
"JosephG","Tres-Zap","1.0"
"HScott93","Viva","3.0"
"HScott93","Zamit","3.0"
"HScott93","Zontrax","3.0"
"PowellR2002","Holdlamis","3.0"
"PowellR2002","Konklab","1.0"
"PowellR2002","Stronghold","1.2"
"PowellR2002","Tempsoft","1.2"
"EPerez","Sub-Ex","1.1"
"EPerez","Zoolab","1.1"
"AScott","Prodder","3.0"
"AScott","Quo Lux","1.1"
"CampbellD","Redhold","2.0"
"CampbellD","Stronghold","3.0"
"CampbellD","Temp","1.0"
"CampbellD","Toughjoyfax","1.2"
"RJames2006","Temp","1.2"
"RJames2006","Voltsillam","2.0"
"TeresaM93","Zoolab","2.1"
"LawsonC01","Stim","1.0"
"MccoyJ","Bigtax","2.1"
"MccoyJ","Fixflex","1.0"
"MccoyJ","Job","1.1"
"MccoyJ","Kanlam","1.0"
"MccoyJ","Sonsing","2.0"
"MccoyJ","Tres-Zap","1.2"
"MccoyJ","Veribet","2.0"
"MccoyJ","Y-find","2.1"
"MccoyJ","Y-find","3.0"
"MccoyJ","Zaam-Dox","1.2"
"JRoberts97","Alpha","1.0"
"JRoberts97","Latlux","1.1"
"JRoberts97","Trippledex","1.2"
"WelchK1995","Fix San","2.1"
"WelchK1995","Fix San","3.0"
"WelchK1995","Mat Lam Tam","1.1"
"WelchK1995","Otcom","1.2"
"WelchK1995","Tampflex","2.1"
"WestP08","Subin","1.2"
"ODonna00","Opela","1.1"
"ODonna00","Opela","3.0"
"ODonna00","Overhold","1.0"
"ODonna00","Redhold","3.0"
"YJeremy2004","Biodex","1.2"
"YJeremy2004","Konklab","1.0"
"YJeremy2004","Sonair","1.1"
"YJeremy2004","Zontrax","3.0"
"YJeremy2004","Zoolab","1.2"
"TammyL2010","Fix San","2.0"
"TammyL2010","Hatity","2.1"
"TammyL2010","Otcom","1.2"
"TammyL2010","Pannier","1.0"
"TammyL2010","Prodder","1.0"
"TammyL2010","Viva","2.0"
"WalterL1995","Cardguard","2.0"
"WalterL1995","Overhold","1.1"
"HHelen10","Duobam","1.2"
"HHelen10","Overhold","1.1"
"HHelen10","Overhold","1.2"
"HHelen10","Solarbreeze","2.0"
"HHelen10","Tres-Zap","1.2"
"HHelen10","Vagram","1.2"
"HHelen10","Veribet","2.0"
"HHelen10","Y-Solowarm","1.2"
"ReidK1995","Flowdesk","1.1"
"ReidK1995","Mat Lam Tam","2.1"
"ReidK1995","Subin","2.1"
"ReidK1995","Veribet","1.0"
"SStephen","Ronstring","2.1"
"SStephen","Span","1.1"
"SStephen","Stim","1.2"
"SStephen","Tin","1.0"
"CPatterson2011","Tempsoft","2.0"
"BarnesT2006","Bitwolf","1.2"
"BarnesT2006","Flexidy","1.1"
"BarnesT2006","Lotlux","3.0"
"BarnesT2006","Mat Lam Tam","1.1"
"MarieM","Zaam-Dox","3.0"
"PhilipV05","Transcof","2.1"
"KanhezD","Holdlamis","2.1"
"FrancesS00","Tin","1.2"
"FrancesS00","Ventosanzap","2.0"
"FrancesS00","Viva","2.1"
"SusanS","Daltfresh","1.0"
"SusanS","Duobam","3.0"
"SusanS","Flexidy","1.2"
"SusanS","Mat Lam Tam","1.1"
"SusanS","Mat Lam Tam","2.1"
"SusanS","Otcom","1.2"
"TrinhE","Asoka","1.1"
"TrinhE","Bytecard","3.0"
"TrinhE","Lotstring","1.1"
"TrinhE","Stringtough","1.0"
"NKenneth","Fix San","2.0"
"NKenneth","Flexidy","2.0"
"NKenneth","Quo Lux","2.1"
"NKenneth","Tampflex","2.0"
"NKenneth","Vagram","2.0"
"WijayaL2005","Opela","1.1"
"AlvarezK94","Zathin","1.2"
"PorterL","Greenlam","1.2"
"PorterL","Holdlamis","2.0"
"TMargaret2005","Aerified","1.1"
"TMargaret2005","Konklux","1.2"
"RuizD24","Cookley","1.1"
"RuizD24","Fintone","1.0"
"RuizD24","Voltsillam","1.2"
"RuizD24","Zamit","2.1"
"MaoJ1996","Bytecard","2.0"
"MaoJ1996","Daltfresh","1.0"
"MaoJ1996","Fix San","1.1"
"MaoJ1996","Fix San","2.1"
"MaoJ1996","Lotstring","1.1"
"MaoJ1996","Sonsing","2.1"
"MaoJ1996","Span","1.2"
"MaoJ1996","Stim","3.0"
"CCynthia2003","Overhold","1.2"
"CCynthia2003","Prodder","1.1"
"FJesse1996","Bamity","3.0"
"FJesse1996","Cardify","2.1"
"FJesse1996","Konklux","3.0"
"FJesse1996","Latlux","1.0"
"FJesse1996","Latlux","1.2"
"FJesse1996","Span","3.0"
"DennisS08","Aerified","2.1"
"DennisS08","Span","1.0"
"DennisS08","Zoolab","2.0"
"MTimothy","Bitwolf","1.2"
"MTimothy","Bitwolf","3.0"
"MTimothy","Fix San","1.2"
"MTimothy","Kanlam","1.0"
"MTimothy","Mat Lam Tam","2.1"
"MTimothy","Opela","2.0"
"MTimothy","Treeflex","1.1"
"MTimothy","Voyatouch","3.0"
"HelenC2004","Aerified","1.0"
"HelenC2004","Aerified","1.1"
"HelenC2004","Aerified","1.2"
"HelenC2004","Aerified","2.0"
"HelenC2004","Aerified","2.1"
"HelenC2004","Aerified","3.0"
"HelenC2004","Bigtax","1.1"
"HelenC2004","Bigtax","2.1"
"HelenC2004","Bigtax","3.0"
"HelenC2004","Domainer","1.0"
"HelenC2004","Domainer","1.2"
"HelenC2004","Domainer","2.0"
"HelenC2004","Hatity","1.2"
"HelenC2004","Home Ing","2.1"
"HelenC2004","Matsoft","1.1"
"HelenC2004","Stringtough","3.0"
"SaraT02","Cardify","2.1"
"SaraT02","Pannier","2.1"
"SaraT02","Redhold","2.1"
"SaraT02","Toughjoyfax","2.1"
"GJessica99","Prodder","1.2"
"GJessica99","Temp","2.0"
"SGary93","Bytecard","1.2"
"SGary93","Fixflex","1.0"
"SGary93","Ventosanzap","1.1"
"SGary93","Zoolab","1.1"
"FloresE1997","Bitwolf","1.2"
"FloresE1997","Kanlam","3.0"
"FloresE1997","Quo Lux","1.0"
"FloresE1997","Sonsing","2.1"
"FloresE1997","Toughjoyfax","1.1"
"FloresE1997","Y-find","1.1"
"PAmy02","Aerified","1.2"
"PAmy02","Aerified","2.0"
"PAmy02","Aerified","2.1"
"PAmy02","Aerified","3.0"
"PAmy02","Cookley","2.0"
"PAmy02","Domainer","1.0"
"PAmy02","Domainer","1.1"
"PAmy02","Domainer","1.2"
"PAmy02","Domainer","2.0"
"PAmy02","Domainer","2.1"
"PAmy02","Flexidy","2.1"
"PAmy02","Lotlux","3.0"
"PAmy02","Prodder","1.2"
"PAmy02","Span","1.2"
"SinghM1994","Fix San","3.0"
"SinghM1994","Flowdesk","3.0"
"SinghM1994","Gembucket","1.0"
"SinghM1994","Opela","1.0"
"EmilyG95","Alpha","1.0"
"EmilyG95","Cardify","1.0"
"EmilyG95","Job","1.2"
"EmilyG95","Otcom","2.0"
"EmilyG95","Prodder","1.2"
"EmilyG95","Sonair","1.0"
"EmilyG95","Trippledex","3.0"
"WalterB09","Fixflex","2.1"
"WalterB09","Otcom","3.0"
"WalterB09","Voltsillam","1.0"
"WalterB09","Voltsillam","2.0"
"WalterB09","Zoolab","1.1"
"BrianH1997","Alpha","2.1"
"BrianH1997","Bytecard","1.2"
"BrianH1997","Keylex","1.2"
"BrianH1997","Stringtough","1.2"
"BrianH1997","Toughjoyfax","3.0"
"BrianH1997","Y-find","1.2"
"FEmily12","Job","1.0"
"FEmily12","Quo Lux","2.0"
"BCraig97","Fix San","2.0"
"BCraig97","Lotlux","1.0"
"BCraig97","Tin","1.0"
"BCraig97","Voyatouch","2.1"
"BCraig97","Y-Solowarm","3.0"
"VRoy03","Stronghold","2.1"
"GEarl07","Bitchip","1.0"
"GEarl07","Fix San","3.0"
"GEarl07","Hatity","3.0"
"GEarl07","Sonair","1.2"
"GEarl07","Span","1.1"
"MurphyD99","Kanlam","1.0"
"MurphyD99","Matsoft","1.1"
"MurphyD99","Ronstring","1.1"
"MurphyD99","Span","1.2"
"MurphyD99","Zathin","2.1"
"ShawnH","Cardify","1.0"
"ShawnH","Daltfresh","2.0"
"ShawnH","Latlux","2.1"
"ShawnH","Quo Lux","2.0"
"ShawnH","Sonsing","1.1"
"ShawnH","Vagram","2.1"
"NicholasH","Wrapsafe","3.0"
"NicholasH","Zaam-Dox","2.1"
"RaymondT2005","Job","3.0"
"RaymondT2005","Opela","2.1"
"RaymondT2005","Y-find","2.1"
"BoydS","Treeflex","1.0"
"DBlack","Asoka","1.1"
"DBlack","Konklab","2.0"
"DBlack","Stronghold","2.1"
"DBlack","Tampflex","1.1"
"SJohnny2010","Aerified","1.0"
"SJohnny2010","Bitchip","1.2"
"SJohnny2010","Job","1.0"
"SJohnny2010","Zamit","2.0"
"SJohnny2010","Zontrax","2.0"
"NicholasW1994","Cookley","1.2"
"NicholasW1994","Hatity","2.0"
"NicholasW1994","Kanlam","1.1"
"NicholasW1994","Y-find","1.0"
"FFrank","Alpha","2.0"
"FFrank","Bitwolf","1.0"
"FFrank","Fix San","1.1"
"FFrank","Gembucket","1.0"
"FFrank","Kanlam","1.1"
"PCynthia02","Fixflex","2.1"
"PCynthia02","Latlux","1.0"
"PCynthia02","Stim","1.2"
"PCynthia02","Stim","3.0"
"PCynthia02","Tres-Zap","1.0"
"PCynthia02","Trippledex","1.1"
"KathyP2011","Cardguard","1.2"
"KathyP2011","Cookley","1.1"
"KathyP2011","Job","1.2"
"KathyP2011","Otcom","1.0"
"KathyP2011","Quo Lux","1.2"
"KathyP2011","Solarbreeze","2.1"
"KathyP2011","Voltsillam","1.1"
"KathyP2011","Voyatouch","1.1"
"AnnF05","Cookley","1.1"
"AnnF05","Fixflex","1.0"
"AnnF05","Kanlam","1.0"
"AnnF05","Kanlam","2.1"
"AnnF05","Keylex","3.0"
"AnnF05","Otcom","2.0"
"AnnF05","Viva","1.1"
"AnnF05","Zoolab","1.0"
"MasonG","Andalax","3.0"
"MasonG","Bigtax","2.1"
"MasonG","Daltfresh","1.2"
"MasonG","Flexidy","1.2"
"MasonG","Hatity","2.1"
"MasonG","Ronstring","1.1"
"MasonG","Tin","1.1"
"MasonG","Zontrax","1.0"
"JBailey1995","Fixflex","3.0"
"JBailey1995","Keylex","3.0"
"JBailey1995","Temp","1.2"
"JBailey1995","Y-Solowarm","3.0"
"HLouise08","Cardify","1.0"
"HLouise08","Opela","2.0"
"HLouise08","Sub-Ex","1.0"
"GohJ1995","Bamity","3.0"
"SThomas2000","Konklux","3.0"
"SThomas2000","Toughjoyfax","2.0"
"SThomas2000","Zoolab","2.0"
"WRivera10","Namfix","1.1"
"WRivera10","Stim","1.1"
"WRivera10","Tin","1.1"
"WRivera10","Zaam-Dox","2.1"
"KAnna2002","Cardify","1.1"
"KAnna2002","Hatity","1.0"
"KAnna2002","Matsoft","2.1"
"KAnna2002","Solarbreeze","1.1"
"DBishop1997","Alpha","1.2"
"DBishop1997","Biodex","2.1"
"DBishop1997","Voltsillam","1.2"
"DBishop1997","Voyatouch","3.0"
"DBishop1997","Wrapsafe","1.1"
"KanhezP","Cookley","2.1"
"KanhezP","Hatity","1.1"
"WMorrison2010","Alphazap","2.1"
"WMorrison2010","Flowdesk","2.1"
"WMorrison2010","Job","2.0"
"WMorrison2010","Kanlam","1.2"
"WMorrison2010","Kanlam","2.1"
"WMorrison2010","Voyatouch","2.0"
"MDeborah2011","Bitwolf","1.1"
"MDeborah2011","Namfix","1.2"
"MDeborah2011","Stringtough","1.1"
"MDeborah2011","Temp","2.0"
"ERaymond02","Biodex","1.2"
"ERaymond02","Lotlux","1.2"
"ERaymond02","Solarbreeze","1.0"
"ERaymond02","Solarbreeze","1.1"
"ERaymond02","Zoolab","1.0"
"APaula2010","Alphazap","2.0"
"APaula2010","Bigtax","1.1"
"APaula2010","Cardguard","1.0"
"APaula2010","Fix San","2.1"
"APaula2010","Kanlam","3.0"
"APaula2010","Tin","2.1"
"APaula2010","Y-find","3.0"
"APaula2010","Zamit","2.0"
"PhillipsE1997","Cardify","1.0"
"PhillipsE1997","Vagram","1.0"
"GGloria","Home Ing","1.2"
"GDaniel","Alpha","2.1"
"GDaniel","Cardguard","3.0"
"GDaniel","Duobam","1.1"
"GDaniel","Holdlamis","1.0"
"LFred10","Duobam","2.1"
"LFred10","Fintone","2.0"
"LFred10","Stim","2.1"
"LFred10","Tampflex","2.0"
"LFred10","Temp","1.2"
"LFred10","Tresom","1.0"
"LFred10","Zoolab","1.2"
"AndersonE93","Alpha","3.0"
"AndersonE93","It","2.1"
"EricP1998","Trippledex","2.1"
"EricP1998","Veribet","1.0"
"EricP1998","Y-find","2.0"
"TammyC2010","Bitwolf","1.1"
"TammyC2010","Gembucket","2.0"
"TammyC2010","Tempsoft","2.1"
"TammyC2010","Toughjoyfax","3.0"
"SKenneth","Alpha","1.1"
"SKenneth","Andalax","3.0"
"SKenneth","Flexidy","2.0"
"SKenneth","Lotlux","3.0"
"SKenneth","Sonsing","1.1"
"SKenneth","Temp","3.0"
"SKenneth","Voltsillam","1.2"
"SKenneth","Zaam-Dox","1.2"
"SKenneth","Zoolab","1.2"
"JoeT2004","Andalax","1.1"
"JoeT2004","Bytecard","1.2"
"JoeT2004","Cardify","1.0"
"JoeT2004","Daltfresh","1.0"
"ClarenceB97","Bamity","2.0"
"ClarenceB97","Cookley","2.0"
"ClarenceB97","Fixflex","2.1"
"ClarenceB97","Holdlamis","2.0"
"ClarenceB97","Lotstring","2.0"
"ClarenceB97","Pannier","2.0"
"ClarenceB97","Solarbreeze","2.1"
"ClarenceB97","Span","2.1"
"ClarenceB97","Subin","1.1"
"ClarenceB97","Subin","2.0"
"WarrenM","Namfix","1.2"
"WarrenM","Subin","1.2"
"WarrenM","Ventosanzap","1.0"
"SharonB97","Biodex","2.1"
"SharonB97","Flowdesk","2.1"
"SharonB97","Treeflex","1.1"
"SharonB97","Wrapsafe","2.1"
"CKathryn","Bitchip","1.2"
"CKathryn","Duobam","2.1"
"CKathryn","Opela","2.0"
"CKathryn","Tampflex","3.0"
"YoungM","Konklab","3.0"
"YoungM","Stringtough","1.0"
"SullivanL","Bitwolf","1.0"
"SullivanL","Fix San","1.0"
"SullivanL","Sonair","1.1"
"SullivanL","Stronghold","1.1"
"SullivanL","Wrapsafe","1.0"
"KhooP","Andalax","2.1"
"KhooP","Bamity","1.2"
"KhooP","Holdlamis","1.0"
"KhooP","Tin","2.0"
"KhooP","Voyatouch","2.1"
"KhooP","Zamit","2.0"
"KhooP","Zamit","3.0"
"SteveR","Asoka","1.1"
"SteveR","Bamity","1.2"
"SteveR","Latlux","1.1"
"SteveR","Subin","1.2"
"SteveR","Vagram","1.1"
"SteveR","Viva","1.0"
"RStone2007","Alphazap","1.1"
"RStone2007","Job","2.1"
"RStone2007","Quo Lux","3.0"
"RStone2007","Tempsoft","1.2"
"RStone2007","Viva","1.2"
"JenniferC","Biodex","2.0"
"JenniferC","Holdlamis","3.0"
"JenniferC","Solarbreeze","2.1"
"JenniferC","Stringtough","1.1"
"JenniferC","Voltsillam","2.1"
"JenniferC","Y-find","2.0"
"JenniferC","Y-Solowarm","2.0"
"SThomas94","Kanlam","3.0"
"SThomas94","Namfix","1.1"
"SThomas94","Tresom","1.2"
"SThomas94","Wrapsafe","2.1"
"KCarlos","Lotstring","1.0"
"KCarlos","Matsoft","2.0"
"KCarlos","Tres-Zap","1.2"
"KCarlos","Vagram","3.0"
"KCarlos","Ventosanzap","1.0"
"KCarlos","Y-find","1.0"
"DeniseA","Greenlam","3.0"
"DeniseA","Opela","1.2"
"DeniseA","Prodder","2.0"
"DeniseA","Toughjoyfax","2.0"
"DeniseA","Zoolab","3.0"
"HarrisA","Bitwolf","2.1"
"HarrisA","Fix San","2.1"
"HarrisA","Hatity","1.1"
"HarrisA","Prodder","1.2"
"HarrisA","Sub-Ex","2.0"
"HarrisA","Tempsoft","1.0"
"SCruz04","Cardify","1.2"
"SCruz04","Flowdesk","1.0"
"SCruz04","Gembucket","2.0"
"SCruz04","Hatity","2.0"
"SCruz04","Toughjoyfax","1.1"
"SCruz04","Y-Solowarm","2.0"
"SCruz04","Y-Solowarm","2.1"
"HelenM2005","Asoka","2.0"
"HelenM2005","Cookley","1.1"
"HelenM2005","Pannier","2.0"
"HelenM2005","Zaam-Dox","2.1"
"HelenM2005","Zamit","1.0"
"AndrewP10","Andalax","1.1"
"AndrewP10","Konklux","1.2"
"AndrewP10","Otcom","2.0"
"AndrewP10","Regrant","1.1"
"AndrewP10","Tampflex","2.1"
"AndrewP10","Zamit","1.2"
"HRose","Biodex","1.1"
"HRose","Cookley","2.0"
"HRose","It","1.0"
"HRose","Latlux","3.0"
"HRose","Quo Lux","1.2"
"HRose","Transcof","2.1"
"RobinD","Duobam","1.0"
"RobinD","Opela","1.0"
"RobinD","Veribet","1.2"
"RobinD","Y-find","1.2"
"RobinD","Y-Solowarm","2.0"
"RobinD","Zaam-Dox","2.0"
"SinghK02","Asoka","1.1"
"SinghK02","Ronstring","1.0"
"SinghK02","Stim","1.2"
"SinghK02","Tresom","1.0"
"SinghK02","Zoolab","2.0"
"OKenneth2000","Cardify","1.2"
"OKenneth2000","Hatity","2.0"
"OKenneth2000","Latlux","1.1"
"OKenneth2000","Span","1.2"
"OKenneth2000","Temp","2.1"
"OKenneth2000","Tempsoft","1.2"
"OKenneth2000","Tin","1.2"
"OKenneth2000","Ventosanzap","1.2"
"OKenneth2000","Viva","1.1"
"BeverlyC05","Alpha","1.1"
"BeverlyC05","Cookley","3.0"
"BeverlyC05","Mat Lam Tam","3.0"
"BeverlyC05","Zoolab","2.1"
"LouiseT","It","2.1"
"LouiseT","Job","2.1"
"LouiseT","Stringtough","1.0"
"MichaelM06","Konklab","3.0"
"MichaelM06","Latlux","1.1"
"MichaelM06","Regrant","1.1"
"MichaelM06","Sub-Ex","2.1"
"RRachel09","Flexidy","1.2"
"RRachel09","Flowdesk","1.2"
"RRachel09","Overhold","3.0"
"RRachel09","Stim","2.1"
"RRachel09","Voltsillam","2.0"
"HCrawford10","Alphazap","1.2"
"HCrawford10","Bitwolf","1.2"
"HCrawford10","Hatity","3.0"
"HCrawford10","Namfix","2.1"
"HCrawford10","Tresom","2.1"
"CollinsD2006","Solarbreeze","1.2"
"CollinsD2006","Tampflex","2.1"
"CollinsD2006","Zaam-Dox","3.0"
"KellyF06","Bamity","2.0"
"KellyF06","Fintone","2.0"
"KellyF06","Mat Lam Tam","1.2"
"KellyF06","Redhold","1.1"
"KellyF06","Tin","2.0"
"WrightA09","Bytecard","1.2"
"WrightA09","Fixflex","3.0"
"WrightA09","It","1.0"
"WrightA09","Lotlux","2.1"
"SKathryn1996","Konklux","2.0"
